rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
1,211000,Fashion & Retail,Bernard Arnault & family,"74,0",France,Paris,LVMH,Fashion & Retail,France,LVMH Moët Hennessy Louis Vuitton,False,U,M,3/5/1949 0:00,Arnault,Bernard,Chairman and CEO,4/4/2023 5:01,nan,nan,"1949,0","3,0","5,0","110,05","1,1",2.715.518.274.227 ,"65,6","102,5","82,5","24,2","60,7","67059887,0","46,227638","2,213749"
2,180000,Automotive,Elon Musk,"51,0",United States,Austin,Tesla. SpaceX,Automotive,United States,Tesla,True,D,M,6/28/1971 0:00,Musk,Elon,CEO,4/4/2023 5:01,Texas,South,"1971,0","6,0","28,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
3,114000,Technology,Jeff Bezos,"59,0",United States,Medina,Amazon,Technology,United States,Amazon,True,D,M,1/12/1964 0:00,Bezos,Jeff,Chairman and Founder,4/4/2023 5:01,Washington,West,"1964,0","1,0","12,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
4,107000,Technology,Larry Ellison,"78,0",United States,Lanai,Oracle,Technology,United States,Oracle,True,U,M,8/17/1944 0:00,Ellison,Larry,CTO and Founder,4/4/2023 5:01,Hawaii,West,"1944,0","8,0","17,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
5,106000,Finance & Investments,Warren Buffett,"92,0",United States,Omaha,Berkshire Hathaway,Finance & Investments,United States,"Berkshire Hathaway Inc, (Cl A)",True,D,M,8/30/1930 0:00,Buffett,Warren,CEO,4/4/2023 5:01,Nebraska,Midwest,"1930,0","8,0","30,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
6,104000,Technology,Bill Gates,"67,0",United States,Medina,Microsoft,Technology,United States,Bill & Melinda Gates Foundation,True,D,M,10/28/1955 0:00,Gates,Bill,Cochair,4/4/2023 5:01,Washington,West,"1955,0","10,0","28,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
7,94500,Media & Entertainment,Michael Bloomberg,"81,0",United States,New York,Bloomberg LP,Media & Entertainment,United States,Bloomberg,True,U,M,2/14/1942 0:00,Bloomberg,Michael,CEO,4/4/2023 5:01,New York,Northeast,"1942,0","2,0","14,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
8,93000,Telecom,Carlos Slim Helu & family,"83,0",Mexico,Mexico City,Telecom,Telecom,Mexico,América Móvil,True,U,M,1/28/1940 0:00,Slim Helu,Carlos,Honorary Chairman,4/4/2023 5:01,nan,nan,"1940,0","1,0","28,0","141,54","3,6",1.258.286.717.125 ,"40,2","105,8","75,0","13,1","55,1","126014024,0","23,634501","-102,552784"
9,83400,Diversified,Mukesh Ambani,"65,0",India,Mumbai,Diversified,Diversified,India,Reliance Industries,False,D,M,4/19/1957 0:00,Ambani,Mukesh,Founder and Chairman,4/4/2023 5:01,nan,nan,"1957,0","4,0","19,0","180,44","7,7",2.611.000.000.000 ,"28,1","113,0","69,4","11,2","49,7","1366417754,0","20,593684","78,96288"
10,80700,Technology,Steve Ballmer,"67,0",United States,Hunts Point,Microsoft,Technology,United States,Los Angeles Clippers,True,D,M,3/24/1956 0:00,Ballmer,Steve,Owner,4/4/2023 5:01,Washington,West,"1956,0","3,0","24,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
11,80500,Fashion & Retail,Francoise Bettencourt Meyers & family,"69,0",France,Paris,L'Oréal,Fashion & Retail,France,nan,False,U,F,7/10/1953 0:00,Bettencourt Meyers,Francoise,nan,4/4/2023 5:01,nan,nan,"1953,0","7,0","10,0","110,05","1,1",2.715.518.274.227 ,"65,6","102,5","82,5","24,2","60,7","67059887,0","46,227638","2,213749"
